"","comuna","Severe","n","n_psu_comuna","n_strata_comuna","deg_free","se.m","se.s","deff","se.tot","var.tot","cv","CI_L","CI_U","promhupm","rho","coterho","calidad2","calidadf","incdf14","excn50","excrho","excdf2"
"21",3302,0.000870370144297077,36,3,1,2,0.00372058889366497,0.000970494598833103,0.850568843242254,0.00384508016587786,1.47846414820273e-05,4.41775282742862,-0.00543556132774262,0.00717630161633677,12,-0.0135846506143406,-0.5,0,"Excluir","Excluir","Excluir","Incluir","Excluir"
"22",3303,0.0261004362152754,52,15,2,13,0.0117458648077299,0.0159470455611676,0.865719348623892,0.0198058981672487,0.000392273602211425,0.758833990508449,-0.00638123677901242,0.0585821092095633,3.46666666666667,-0.0544381019092331,-0.0714285714285714,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"23",3304,0.00999321914193334,82,22,2,20,0.00902629749923162,0.00626457675357168,0.953914158378915,0.0109872184125931,0.000120718968446026,1.09946737448084,-0.0080258190547194,0.0280122573385861,3.72727272727273,-0.0168981419277311,-0.0476190476190477,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"24",4101,0.0395734823666516,741,162,2,160,0.00478598074964003,0.00577308214095404,1.17404504853983,0.00749893920112221,5.62340891421274e-05,0.189494043805494,0.0272752220768112,0.051871742656492,4.57407407407407,0.0486965420785021,-0.0062111801242235,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"25",4102,0.0358263980333829,696,164,2,162,0.00492912421322614,0.00610519950227235,1.43159029487548,0.00784663790880902,6.15697264719588e-05,0.219018331161775,0.0229579118629361,0.0486948842038297,4.24390243902439,0.133046632254847,-0.00613496932515334,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"26",4103,0.0322741395223189,72,14,2,12,0.0144274494692876,0.0188255019496248,1.54202209608315,0.0237181538456132,0.000562550821844174,0.734896551748841,-0.00662363278448667,0.0711719118291245,5.14285714285714,0.130832919744207,-0.0769230769230769,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"27",4104,0.0145148094099977,50,6,2,4,0.00780204003510947,0.00707514068631392,0.36877081227515,0.0105323048019218,0.000110929444440586,0.725624739837595,-0.00275817046515413,0.0317877892851495,8.33333333333333,-0.0860767074170249,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"28",4105,0.0232231405169412,23,3,1,2,0.0152204289071642,0.0257967788733073,0.943524132116434,0.0299522162177751,0.000897135256356352,1.28975735197938,-0.02589849408021,0.0723447751140924,7.66666666666667,-0.00847138018253496,-0.5,0,"Excluir","Excluir","Excluir","Incluir","Excluir"
"29",4106,0.0411864997971464,107,14,2,12,0.0134573725897387,0.01329163040965,0.902432754085492,0.0189147644967043,0.000357768315965784,0.459246709233951,0.0101662860225514,0.0722067135717414,7.64285714285714,-0.0146875423957324,-0.0769230769230769,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"30",4201,0.0223480952912416,104,22,2,20,0.0104649797288064,0.0103861217874903,1.09818026641731,0.0147440607197919,0.000217387326508909,0.659745742428896,-0.00183216428921711,0.0465283548717002,4.72727272727273,0.0263410470875711,-0.0476190476190477,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"31",4202,0.0247260484101197,62,6,2,4,0.0150000950628673,0.0136996368256682,1.2080294511826,0.0203145982251744,0.000412682901050259,0.82158693084416,-0.00858989267916626,0.0580419894994057,10.3333333333333,0.0222888697695641,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"32",4203,0.0131306076604331,79,20,2,18,0.00846770363765247,0.0118626466645001,1.31711432592703,0.0145747861316003,0.000212424390781888,1.10998565401653,-0.0107720415953913,0.0370332569162576,3.95,0.107496381670178,-0.0526315789473684,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"33",4204,0.0581630478576596,103,13,2,11,0.0178808343463999,0.0223586984079608,1.61829693098662,0.0286292792682866,0.000819635631421543,0.492224536416145,0.0112110298576697,0.10511506585765,7.92307692307692,0.0893095566980676,-0.0833333333333333,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"34",4301,0.0261945933641759,363,71,2,69,0.00577464717273481,0.00563854306985277,0.849418919794357,0.00807091803453354,6.51397179201588e-05,0.30811388908871,0.0129582877875409,0.0394308989408109,5.11267605633803,-0.0366138927897282,-0.0142857142857142,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
