"","comuna","ModerateSevere","n","n_psu_comuna","n_strata_comuna","deg_free","se.m","se.s","deff","se.tot","var.tot","cv","CI_L","CI_U","promhupm","rho","coterho","calidad2","calidadf","incdf14","excn50","excrho","excdf2"
"128",7308,0.250091505976698,146,15,2,13,0.0174390045648022,0.031627120818787,1.03647861512032,0.0361163903442377,0.00130439365149734,0.144412702875254,0.190860625812148,0.309322386141248,9.73333333333333,0.00417694066263158,-0.0714285714285714,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"129",7309,0.2181509888637,50,6,2,4,0.0281924207793374,0.0412861935023277,0.624926196872532,0.0499936232264762,0.00249936236331086,0.229169821722477,0.136161446772279,0.300140530955121,8.33333333333333,-0.0511464276992001,-0.2,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"130",7401,0.175289096322481,343,64,2,62,0.00999653091073209,0.0227492246061437,1.63601719925101,0.0248486991697754,0.000617457850429997,0.141758384811688,0.13453722968405,0.216040962960913,5.359375,0.14589641846618,-0.0158730158730158,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"131",7402,0.342343759541376,88,7,2,5,0.0262225233503089,0.0587488666741472,1.84896961867587,0.0643354495309874,0.00413905006635422,0.187926456194718,0.236833622310557,0.447853896772195,12.5714285714286,0.073367744823841,-0.166666666666667,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"132",7403,0.268353784804707,113,15,2,13,0.0188825587305011,0.0386150131855083,1.05636818979953,0.0429845352135835,0.0018476702675278,0.160178606181632,0.19785914705443,0.338848422554984,7.53333333333333,0.00862778415298875,-0.0714285714285714,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"133",7404,0.208170575726179,154,30,2,28,0.0151009664824064,0.0247769346590149,0.746844599843485,0.0290161279256874,0.000841935679799856,0.139386307716487,0.160584125928052,0.255757025524307,5.13333333333333,-0.061247274231415,-0.0344827586206897,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
"134",7405,0.204275430593794,95,8,2,6,0.0232058176367624,0.0331111363670178,0.917685972239382,0.0404333689383648,0.00163485732370593,0.197935546241816,0.137964705534876,0.270586155652712,11.875,-0.00756910600097641,-0.142857142857143,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"135",7406,0.21252744914486,128,26,2,24,0.0203848916576938,0.0399335581301205,1.69254549865807,0.0448356205803781,0.00201023287282762,0.210963904948663,0.13899703139304,0.28605786689668,4.92307692307692,0.176531205540291,-0.04,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"136",7407,0.203238391699675,81,10,2,8,0.0194627304705176,0.0543353377689609,1.84729426042069,0.0577159146842107,0.00333112680783509,0.283981359041147,0.108584291617569,0.29789249178178,8.1,0.119337219777563,-0.111111111111111,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"137",7408,0.289836006966866,97,8,2,6,0.0252335148062572,0.0523626206505056,1.83763572471519,0.0581255048224646,0.00337857431086636,0.200546182756063,0.194510179058024,0.385161834875708,12.125,0.0752930988508032,-0.142857142857143,1,"Incluir","Excluir","Incluir","Incluir","Incluir"
"138",8101,0.15768299712391,998,169,2,167,0.00587384544007075,0.0114148431107848,1.34386662186175,0.0128374726288967,0.000164800703497672,0.0814131698600883,0.13662954201252,0.178736452235301,5.90532544378698,0.0701006744205496,-0.00595238095238093,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"139",8102,0.257740364123385,373,84,2,82,0.0107678087186008,0.0421753833054919,4.43463351037683,0.0435282513037859,0.00189470866156554,0.168884107275289,0.186354031985176,0.329126696261594,4.44047619047619,0.998301781562816,-0.0120481927710843,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"140",8103,0.200931540274623,327,53,1,52,0.0100770601595158,0.0374771900834517,3.61417749306269,0.0388083356768835,0.00150608691800967,0.193142080252022,0.137285869764534,0.264577210784712,6.16981132075472,0.505662069825994,-0.0192307692307692,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"141",8104,0.155872964568875,69,14,2,12,0.0227438634949782,0.0291389806245399,0.619604714367455,0.0369643547017328,0.00136636351851551,0.237144105162634,0.095251422858033,0.216494506279716,4.92857142857143,-0.0968278908882841,-0.0769230769230769,0,"Excluir","Excluir","Incluir","Excluir","Incluir"
"142",8105,0.27651049559943,96,18,2,16,0.0264471543899114,0.0350367349701446,0.858688595872426,0.0438978902988739,0.00192702477269196,0.158756687350005,0.204517955509277,0.348503035689584,5.33333333333333,-0.0326103240294401,-0.0588235294117647,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"143",8106,0.28158632561603,162,45,1,44,0.0177952063755569,0.0343094468860627,1.23689668015263,0.0386498061518582,0.00149380751557622,0.137257397237965,0.218200643526982,0.344972007705077,3.6,0.0911141077510114,-0.0227272727272727,1,"Incluir","Incluir","Incluir","Incluir","Incluir"
"144",8107,0.187857912295871,179,32,2,30,0.014488614118534,0.0220827378289038,0.799760340735877,0.0264114984257971,0.000697567249095884,0.140592951891213,0.144543054877564,0.231172769714178,5.59375,-0.0435895856901493,-0.032258064516129,1,"Incluir","Incluir","Incluir","Excluir","Incluir"
